"";"X";"Beam";"src_fil";"int_build";"beam_pair";"l2b_quality_flag1";"PAI";"cover";"FHD";"pai_z1";"pai_z2";"pai_z3";"pai_z4";"pai_z5";"pai_z6";"pai_z7";"pai_z8";"pavd_z1";"pavd_z2";"pavd_z3";"pavd_z4";"pavd_z5";"pavd_z6";"pavd_z7";"pavd_z8";"cover_z1";"cover_z2";"cover_z3";"cover_z4";"cover_z5";"cover_z6";"cover_z7";"cover_z8";"is_bajo"
"50";50;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,58316910266876;0,546834945678711;2,39185047149658;1,58316910266876;1,02989649772644;0,151403352618217;0;0;0;0;0;0,110654532909393;0,143176585435867;0,10298965126276;0,0151403350755572;0;0;0;0;0,546834945678711;0,402448922395706;0,0729066953063011;0;0;0;0;0;0
"51";51;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;0,974072992801666;0,385537594556808;2,0706193447113;0,974072992801666;0,366500645875931;0;0;0;0;0;0;0,121514469385147;0,0974072962999344;0,0366500653326511;0;0;0;0;0;0,385537594556808;0,167437210679054;0;0;0;0;0;0;1
"52";52;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,07902193069458;0,416945576667786;2,18742156028748;1,07902193069458;0,528463244438171;0,00548166781663895;0;0;0;0;0;0,110111728310585;0,107354022562504;0,0528463274240494;0,000548166804946959;0;0;0;0;0,416945576667786;0,232198283076286;0,00273708067834377;0;0;0;0;0;1
"53";53;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,33894765377045;0,487992137670517;2,2615430355072;1,33894765377045;0,833642482757568;0,0337455905973911;0;0;0;0;0;0,101061046123505;0,130520209670067;0,0833642482757568;0,00337455910630524;0;0;0;0;0,487992137670517;0,340847611427307;0,0167312175035477;0;0;0;0;0;0
"54";54;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,70598030090332;0,573817789554596;2,50893950462341;1,70598030090332;1,21007919311523;0,336002707481384;0;0;0;0;0;0,0991802290081978;0,136997759342194;0,121007919311523;0,0336002707481384;0;0;0;0;0,573817789554596;0,45392170548439;0,154644712805748;0;0;0;0;0;0
"55";55;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,93038177490234;0,619037628173828;2,42496609687805;1,93038177490234;1,23723089694977;0,186012655496597;0;0;0;0;0;0,138630166649818;0,174436911940575;0,123723089694977;0,0186012666672468;0;0;0;0;0,619037628173828;0,461283832788467;0,0888114273548126;0;0;0;0;0;0
"56";56;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,47154808044434;0,520830810070038;2,47108912467957;1,47154808044434;0,968008518218994;0,200359433889389;0;0;0;0;0;0,100707896053791;0,127118855714798;0,0968008562922478;0,0200359430164099;0;0;0;0;0,520830810070038;0,383671820163727;0,0953242108225822;0;0;0;0;0;0
"57";57;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,89347219467163;0,611944198608398;2,63291525840759;1,89347219467163;1,40824580192566;0,584879875183105;0,0026775470469147;0;0;0;0;0,0970452949404716;0,130859240889549;0,140556827187538;0,0584879890084267;0,000267754716333002;0;0;0;0,611944198608398;0,50542539358139;0,25355264544487;0,00133787759114057;0;0;0;0;0
"58";58;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,47444403171539;0,521524012088776;2,62421798706055;1,47444403171539;1,14281022548676;0,458509653806686;0,0063518094830215;0;0;0;0;0,0663267597556114;0,101593434810638;0,11364583671093;0,0458509624004364;0,000635180971585214;0;0;0;0,521524012088776;0,435245394706726;0,204869449138641;0,00317086582072079;0;0;0;0;0
"59";59;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;1;1;1,44207561016083;0,513718962669373;2,73839235305786;1,44207561016083;1,09876644611359;0,552342891693115;0,0698349550366402;0;0;0;0;0,0686618313193321;0,088973268866539;0,102893151342869;0,0552342906594276;0,0069834953173995;0;0;0;0,513718962669373;0,42267245054245;0,241310596466064;0,0343147739768028;0;0;0;0;0
"60";60;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";2;1;0;2,05471348762512;0,641991555690765;2,61588740348816;2,05471348762512;1,45296013355255;0,551767110824585;0;0;0;0;0;0,120350688695908;0,15029464662075;0,145296007394791;0,0551767125725746;0;0;0;0;0,641991555690765;0,516357660293579;0,241092160344124;0;0;0;0;0;0
"61";61;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,71222317218781;0,575145661830902;2,46770834922791;1,71222317218781;1,31973600387573;0,319046437740326;0;0;0;0;0;0,0784974247217178;0,13931767642498;0,13197360932827;0,0319046452641487;0;0;0;0;0,575145661830902;0,483051180839539;0,147447466850281;0;0;0;0;0;0
"62";62;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,63681924343109;0,558826506137848;2,55569458007812;1,63681924343109;1,09100878238678;0,310034334659576;0;0;0;0;0;0,109162077307701;0,132678493857384;0,109100885689259;0,0310034323483706;0;0;0;0;0,558826506137848;0,420429110527039;0,143597289919853;0;0;0;0;0;0
"63";63;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,51833403110504;0,531907439231873;2,51566004753113;1,51833403110504;1,07153308391571;0,342627197504044;0;0;0;0;0;0,0893601700663567;0,117570675909519;0,107153311371803;0,0342627204954624;0;0;0;0;0,531907439231873;0,414758592844009;0,157439991831779;0;0;0;0;0;0
"64";64;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,854532122612;0,604317128658295;2,51035475730896;1,854532122612;1,30627918243408;0,406887620687485;0;0;0;0;0;0,109650574624538;0,144764453172684;0,130627915263176;0,0406887605786324;0;0;0;0;0,604317128658295;0,479561865329742;0,184080213308334;0;0;0;0;0;0
"65";65;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,73003041744232;0,57891058921814;2,41252374649048;1,73003041744232;1,15875136852264;0,19131226837635;0;0;0;0;0;0,1142558157444;0,153871819376945;0,115875139832497;0,019131226465106;0;0;0;0;0,57891058921814;0,439728230237961;0,0912226587533951;0;0;0;0;0;0
"66";66;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,96091151237488;0,624806880950928;2,55755186080933;1,96091151237488;1,47115194797516;0,490550398826599;0;0;0;0;0;0,0979519262909889;0,147036120295525;0,147115185856819;0,0490550398826599;0;0;0;0;0,624806880950928;0,520735919475555;0,217505559325218;0;0;0;0;0;0
"67";67;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,88809788227081;0,610900342464447;2,56007695198059;1,88809788227081;1,3366105556488;0,437456458806992;0;0;0;0;0;0,110297463834286;0,145064145326614;0,133661046624184;0,043745644390583;0;0;0;0;0,610900342464447;0,487393587827682;0,196455657482147;0;0;0;0;0;0
"68";68;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;2;0;1,83362174034119;0,600159823894501;2,61685848236084;1,83362174034119;1,32340824604034;0,506407201290131;0;0;0;0;0;0,102042712271214;0,132721453905106;0,13234081864357;0,0506407208740711;0;0;0;0;0,600159823894501;0,483999282121658;0,223684594035149;0;0;0;0;0;0
"69";69;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";2;2;0;2,23963737487793;0,673597455024719;2,75384616851807;2,23963737487793;1,80569505691528;0,911195635795593;0,125515967607498;0;0;0;0;0,0867884531617165;0,132844179868698;0,168017908930779;0,0911195650696754;0,0125515963882208;0;0;0;0,673597455024719;0,594539284706116;0,365915298461914;0,0608288682997227;0;0;0;0;0
"70";70;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,57267713546753;0,544452011585236;2,46134829521179;1,57267713546753;0,974270343780518;0,189956232905388;0;0;0;0;0;0,119681343436241;0,13827209174633;0,0974270328879356;0,0189956221729517;0;0;0;0;0,544452011585236;0,385598212480545;0,0906062871217728;0;0;0;0;0;0
"71";71;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,36329638957977;0,494186490774155;2,25484848022461;1,36329638957977;0,802572846412659;0,0228464119136333;0;0;0;0;0;0,112144701182842;0,134044989943504;0,0802572816610336;0,00228464114479721;0;0;0;0;0,494186490774155;0,330528944730759;0,0113581949844956;0;0;0;0;0;0
"72";72;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,38233864307404;0,498978585004807;2,49640655517578;1,38233864307404;0,962097644805908;0,221844404935837;0;0;0;0;0;0,0840481966733932;0,11604942381382;0,0962097644805908;0,0221844408661127;0;0;0;0;0,498978585004807;0,381847828626633;0,104990445077419;0;0;0;0;0;0
